chr1	180243272	180243273	chr1_180243272_180243273_A	1	+	0	chr1:180241141	-2132	chr1:180243320	48	chr1:180404696	161376	chr1:180522182	117486	0
chr12	6711342	6711343	chr12_6711342_6711343_A	1	-	0	chr12:6711542	-200	chr12:6711341	2	chr12:6711320	21	chr12:6710932	388	0
chr16	783446	783447	chr16_783446_783447_G	4	+	0	chr16:783159	-288	chr16:783469	23	chr16:811073	27604	chr16:811133	60	0
chr16	783447	783448	chr16_783447_783448_A	4	+	0	chr16:783159	-289	chr16:783469	22	chr16:811073	27604	chr16:811133	60	0
chr16	783448	783449	chr16_783448_783449_A	4	+	0	chr16:783159	-290	chr16:783469	21	chr16:811073	27604	chr16:811133	60	0
chr16	783449	783450	chr16_783449_783450_C	4	+	0	chr16:783159	-291	chr16:783469	20	chr16:811073	27604	chr16:811133	60	0
chr16	2990004	2990005	chr16_2990004_2990005_A	1	-	0	chr16:2993328	-3324	chr16:2989981	24	chr16:2917530	72451	chr16:2916857	673	0
chr19	44030528	44030529	chr19_44030528_44030529_C	1	+	0	chr19:44030390	-139	chr19:44030579	51	chr19:44035957	5378	chr19:44037947	1990	0
chr2	101591894	101591895	chr2_101591894_101591895_A	1	-	0	chr2:101591995	-101	chr2:101591875	20	chr2:101589305	2570	chr2:101588976	329	0
chr5	34918449	34918450	chr5_34918449_34918450_A	1	-	0	chr5:34918627	-178	chr5:34918402	48	chr5:34918241	161	chr5:34915731	2510	0
